Group,Type,Sample,Source,CPM,UNK
N,Mouse,Organ,Lungs,37,105.26
N,Mouse,Organ,Lungs,88,158.84
N,Mouse,Organ,Lungs,115,225.59
N,Mouse,Organ,Lungs,80,243.64
O,Mouse,Organ,Lungs,82,205.06
O,Mouse,Organ,Lungs,48,237.56
O,Mouse,Organ,Lungs,95,211.35
O,Mouse,Organ,Lungs,61,172.11
K,Mouse,Organ,Kidneys,47,142.98
K,Mouse,Organ,Kidneys,45,124.42
K,Mouse,Organ,Kidneys,20,1.81
K,Mouse,Organ,Kidneys,22,0
L,Mouse,Organ,Kidneys,5,0
L,Mouse,Organ,Kidneys,15,0
L,Mouse,Organ,Kidneys,37,247.55
L,Mouse,Organ,Kidneys,3,0
M,Mouse,Organ,Kidneys,37,192.99
M,Mouse,Organ,Kidneys,41,124.36
M,Mouse,Organ,Kidneys,49,141.43
M,Mouse,Organ,Kidneys,38,105.88
N,Mouse,Organ,Kidneys,244,239.36
N,Mouse,Organ,Kidneys,206,233.36
N,Mouse,Organ,Kidneys,248,245.84
N,Mouse,Organ,Kidneys,142,248.92
O,Mouse,Organ,Kidneys,215,236.07
O,Mouse,Organ,Kidneys,121,213.48
O,Mouse,Organ,Kidneys,198,229.81
O,Mouse,Organ,Kidneys,156,208.96
